signature,id,id_source,type,brand,category,subcategory,model,generation,version,name,years,photo_folder,quick_photo_1,quick_photo_2,photo_mode,photo_1,photo_2,article_file,article_exists
fcfc1331c4ff125e26922876f2339986d3f740bb,car-00001,excel,car,Abarth,,,500,Gen 1,-,Abarth 500,2008–2013,assets/vehicles/abarth/car-00001/,assets/vehicles/_quick/car-00001-1.webp,assets/vehicles/_quick/car-00001-2.webp,,,,content/articles/abarth/car-00001.md,no
d6771289caa416ca85028361aee08bf03f5e6067,car-00002,excel,car,Abarth,,,500,Gen 1,Esseesse,Abarth 500 Esseesse,2008–2013,assets/vehicles/abarth/car-00002/,assets/vehicles/_quick/car-00002-1.webp,assets/vehicles/_quick/car-00002-2.webp,,,,content/articles/abarth/car-00002.md,no
e556ea4f6327516697033920ffaf673f190991be,car-00003,excel,car,Abarth,,,500,Gen 1,C,Abarth 500 C,2010–2014,assets/vehicles/abarth/car-00003/,assets/vehicles/_quick/car-00003-1.webp,assets/vehicles/_quick/car-00003-2.webp,,,,content/articles/abarth/car-00003.md,no
cc9f64d2abd2bb7c2ccfe916c9932bb274f94094,car-00004,excel,car,Abarth,,,595,Gen 1,Competizione,Abarth 595 Competizione,2012–2015,assets/vehicles/abarth/car-00004/,assets/vehicles/_quick/car-00004-1.webp,assets/vehicles/_quick/car-00004-2.webp,,,,content/articles/abarth/car-00004.md,no
f34b0c718b38c1c065d0ea858ba96fb8a1fa3144,car-00005,excel,car,Abarth,,,Grande Punto,Gen 1,-,Abarth Grande Punto,2007–2010,assets/vehicles/abarth/car-00005/,assets/vehicles/_quick/car-00005-1.webp,assets/vehicles/_quick/car-00005-2.webp,,,,content/articles/abarth/car-00005.md,no
a37dcf2dcba495c0126e2e8945dfeeb990ecfbb0,car-00006,excel,car,Abarth,,,Grande Punto,Gen 1,Esseesse,Abarth Grande Punto Esseesse,2007–2010,assets/vehicles/abarth/car-00006/,assets/vehicles/_quick/car-00006-1.webp,assets/vehicles/_quick/car-00006-2.webp,,,,content/articles/abarth/car-00006.md,no
6a05357e42e7e9bb054c82ad7819c2ae717dd9d1,car-00007,excel,car,Abarth,,,Punto,Gen 1,EVO,Abarth Punto EVO,2010–2013,assets/vehicles/abarth/car-00007/,assets/vehicles/_quick/car-00007-1.webp,assets/vehicles/_quick/car-00007-2.webp,,,,content/articles/abarth/car-00007.md,no
c3454ad69c4dfcb49907c0f8af33639cb154cab6,car-00008,excel,car,Abarth,,,Punto,Gen 1,Esseesse,Abarth Punto Esseesse,2010–2013,assets/vehicles/abarth/car-00008/,assets/vehicles/_quick/car-00008-1.webp,assets/vehicles/_quick/car-00008-2.webp,,,,content/articles/abarth/car-00008.md,no
626597aa5524be4c78dc745d52242f0df25dc48a,car-00009,excel,car,Abarth,,,Punto,Gen 1,Scorpione,Abarth Punto Scorpione,2012,assets/vehicles/abarth/car-00009/,assets/vehicles/_quick/car-00009-1.webp,assets/vehicles/_quick/car-00009-2.webp,,,,content/articles/abarth/car-00009.md,no
fdc13796571ed0764b9091bdcbc706c3384dc2d0,car-00010,excel,car,Abarth,,,Punto,Gen 1,Supersport,Abarth Punto Supersport,2012–2013,assets/vehicles/abarth/car-00010/,assets/vehicles/_quick/car-00010-1.webp,assets/vehicles/_quick/car-00010-2.webp,,,,content/articles/abarth/car-00010.md,no
92fc27c617f12946dcd31b5235c07630c9fc458d,car-00011,excel,car,Alfa Romeo,,,145,Gen 1,1.4 TS,Alfa Romeo 145 1.4 TS,1996–1999,assets/vehicles/alfa-romeo/car-00011/,assets/vehicles/_quick/car-00011-1.webp,assets/vehicles/_quick/car-00011-2.webp,,,,content/articles/alfa-romeo/car-00011.md,no
b344c37c026ad94dd36d49f1aedb8691ae293bff,car-00012,excel,car,Alfa Romeo,,,145,Gen 1,1.6,Alfa Romeo 145 1.6,1994-1996–,assets/vehicles/alfa-romeo/car-00012/,assets/vehicles/_quick/car-00012-1.webp,assets/vehicles/_quick/car-00012-2.webp,,,,content/articles/alfa-romeo/car-00012.md,no
97e6da31330ee8edf407734419d6dd31fb8a3e1f,car-00013,excel,car,Alfa Romeo,,,145,Gen 1,1.6 TS,Alfa Romeo 145 1.6 TS,1996-2001–,assets/vehicles/alfa-romeo/car-00013/,assets/vehicles/_quick/car-00013-1.webp,assets/vehicles/_quick/car-00013-2.webp,,,,content/articles/alfa-romeo/car-00013.md,no
27d72f8c4625ab1c2effca728041010ed018d8db,car-00014,excel,car,Alfa Romeo,,,145,Gen 1,1.7 16v,Alfa Romeo 145 1.7 16v,1994-1996–,assets/vehicles/alfa-romeo/car-00014/,assets/vehicles/_quick/car-00014-1.webp,assets/vehicles/_quick/car-00014-2.webp,,,,content/articles/alfa-romeo/car-00014.md,no
396daddb0f76224a6e67dead2e6902e8f5900435,car-00015,excel,car,Alfa Romeo,,,145,Gen 1,1.8 TS,Alfa Romeo 145 1.8 TS,1996-1999–,assets/vehicles/alfa-romeo/car-00015/,assets/vehicles/_quick/car-00015-1.webp,assets/vehicles/_quick/car-00015-2.webp,,,,content/articles/alfa-romeo/car-00015.md,no
719a9c3cd4a6537d4f637b89122f9a4c5719362c,car-00016,excel,car,Alfa Romeo,,,145,Gen 1,Quadrifoglio,Alfa Romeo 145 Quadrifoglio,1995–1998,assets/vehicles/alfa-romeo/car-00016/,assets/vehicles/_quick/car-00016-1.webp,assets/vehicles/_quick/car-00016-2.webp,,,,content/articles/alfa-romeo/car-00016.md,no
556514e1b87eda87dd027993648c144e85184928,car-00017,excel,car,Alfa Romeo,,,146,Gen 1,1.6,Alfa Romeo 146 1.6,1995-1996–,assets/vehicles/alfa-romeo/car-00017/,assets/vehicles/_quick/car-00017-1.webp,assets/vehicles/_quick/car-00017-2.webp,,,,content/articles/alfa-romeo/car-00017.md,no
2574f0bfabc38b6fe4fa7169978f919a719f07a8,car-00018,excel,car,Alfa Romeo,,,146,Gen 1,1.7 16v,Alfa Romeo 146 1.7 16v,1995-1996–,assets/vehicles/alfa-romeo/car-00018/,assets/vehicles/_quick/car-00018-1.webp,assets/vehicles/_quick/car-00018-2.webp,,,,content/articles/alfa-romeo/car-00018.md,no
